epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.293,3.46157,5.73135,4.27603,0,0,0,0,3.57936,5.39469,4.15822,2.38e-06,2.38e-06,2.38e-06
2,184.333,3.75791,5.68112,4.29173,0,0,0,0,3.57908,5.39434,4.15812,5.94018e-06,5.94018e-06,5.94018e-06
3,202.169,3.5215,5.69649,4.27594,0,0,0,0,3.5788,5.39424,4.1576,9.48858e-06,9.48858e-06,9.48858e-06
4,220.106,3.59803,5.75177,4.27021,0,0,0,0,3.57907,5.39414,4.15719,1.30252e-05,1.30252e-05,1.30252e-05
5,238.358,3.74822,5.74456,4.263,0,0,0,0,3.57888,5.39326,4.15696,1.655e-05,1.655e-05,1.655e-05
6,256.598,3.62185,5.80656,4.26782,0,0,0,0,3.57907,5.39327,4.15646,2.00631e-05,2.00631e-05,2.00631e-05
7,274.849,3.71259,5.74789,4.24097,0,0,0,0,3.57924,5.39335,4.15596,2.35644e-05,2.35644e-05,2.35644e-05
8,293.062,3.71982,5.7432,4.27732,0,0,0,0,3.57897,5.39328,4.15564,2.70539e-05,2.70539e-05,2.70539e-05
9,311.267,3.59662,5.74418,4.25997,0,0,0,0,3.57852,5.39278,4.15539,3.05316e-05,3.05316e-05,3.05316e-05
10,329.472,3.62391,5.80584,4.22822,0,0,0,0,3.57818,5.39326,4.15532,3.39975e-05,3.39975e-05,3.39975e-05
11,347.703,3.46535,5.72202,4.20988,0,0,0,0,3.57823,5.39324,4.15464,3.74517e-05,3.74517e-05,3.74517e-05
12,365.943,3.77185,5.75535,4.22247,0,0,0,0,3.5773,5.39362,4.15482,4.08941e-05,4.08941e-05,4.08941e-05
13,384.213,3.69752,5.73975,4.21199,0,0,0,0,3.57687,5.39438,4.15497,4.43246e-05,4.43246e-05,4.43246e-05
14,402.505,3.77881,5.72064,4.19664,0,0,0,0,3.57597,5.3952,4.1549,4.77435e-05,4.77435e-05,4.77435e-05
15,420.804,3.65612,5.66202,4.20151,0,0,0,0,3.57508,5.39659,4.15482,5.11505e-05,5.11505e-05,5.11505e-05
16,439.146,3.60593,5.72567,4.16162,0,0,0,0,3.5738,5.39774,4.15475,5.45457e-05,5.45457e-05,5.45457e-05
17,457.484,3.7195,5.68233,4.18606,0,0,0,0,3.57301,5.39833,4.15441,5.79292e-05,5.79292e-05,5.79292e-05
18,475.809,3.60251,5.63584,4.16062,0,0,0,0,3.57045,5.39937,4.1542,6.13009e-05,6.13009e-05,6.13009e-05
19,494.031,3.59169,5.63512,4.1531,0,0,0,0,3.56902,5.4017,4.15408,6.46608e-05,6.46608e-05,6.46608e-05
20,512.284,3.62486,5.60188,4.13913,0,0,0,0,3.56721,5.40438,4.1537,6.80089e-05,6.80089e-05,6.80089e-05
21,530.505,3.6118,5.57682,4.13374,0,0,0,0,3.56576,5.40715,4.15285,7.13453e-05,7.13453e-05,7.13453e-05
22,548.752,3.60002,5.51628,4.10889,0,0,0,0,3.56365,5.4116,4.15149,7.46698e-05,7.46698e-05,7.46698e-05
23,566.973,3.67689,5.43512,4.08682,0,0,0,0,3.56349,5.4169,4.15098,7.79826e-05,7.79826e-05,7.79826e-05
24,585.189,3.6259,5.46916,4.0764,0,0,0,0,3.5642,5.42703,4.15625,8.12836e-05,8.12836e-05,8.12836e-05
25,603.51,3.57582,5.2603,4.04498,0,0,0,0,3.56605,5.44122,4.16586,8.45728e-05,8.45728e-05,8.45728e-05
26,621.853,3.72931,5.32357,4.04009,0,0,0,0,3.56814,5.4565,4.17208,8.78503e-05,8.78503e-05,8.78503e-05
27,640.183,3.70663,5.21049,4.00561,0,0,0,0,3.57093,5.47607,4.18263,9.11159e-05,9.11159e-05,9.11159e-05
28,658.587,3.50992,5.16263,3.97297,0,0,0,0,3.57327,5.46936,4.15276,9.43698e-05,9.43698e-05,9.43698e-05
29,676.956,3.57583,5.02159,3.94757,0,0,0,0,3.57748,5.47143,4.14311,9.76119e-05,9.76119e-05,9.76119e-05
30,695.336,3.41148,5.13742,3.89689,0,0,0,0,3.5718,5.52023,4.19058,0.000100842,0.000100842,0.000100842
31,713.716,3.38349,5.17725,3.89091,0,0,0,0,3.57741,5.48722,4.13618,0.000104061,0.000104061,0.000104061
32,732.173,3.29783,4.96459,3.85533,0.00066,7e-05,0.00033,9e-05,3.58204,5.49384,4.13393,0.000107267,0.000107267,0.000107267
33,750.59,3.30787,4.91218,3.80548,0.00056,5e-05,0.0003,9e-05,3.57489,5.47827,4.09736,0.000110462,0.000110462,0.000110462
34,769.483,3.43212,4.86732,3.78423,0.00057,0.0003,0.00031,9e-05,3.56324,5.51401,4.11901,0.00011252,0.00011252,0.00011252
35,792.242,3.34783,4.72544,3.77289,0.00018,0.00621,0.0002,5e-05,3.56284,5.44481,4.07108,0.000112324,0.000112324,0.000112324
36,815.254,3.07956,4.76703,3.7103,0.0002,0.00814,0.00023,6e-05,3.54282,5.46606,4.08089,0.000112128,0.000112128,0.000112128
37,837.897,3.19184,4.84084,3.73626,0.00034,0.00769,0.00026,8e-05,3.52872,5.49603,4.09481,0.000111931,0.000111931,0.000111931
38,861.188,3.13106,4.82361,3.68365,0.00037,0.01846,0.00041,0.00011,3.50293,5.46184,4.06343,0.000111735,0.000111735,0.000111735
39,884.505,3.19157,4.70308,3.60191,0.00025,0.02397,0.00036,0.0001,3.46186,5.4096,4.01055,0.000111539,0.000111539,0.000111539
40,907.555,3.05454,4.59222,3.57468,0.0003,0.0209,0.00036,0.00012,3.47474,5.46811,4.06265,0.000111342,0.000111342,0.000111342
41,931.036,2.99219,4.702,3.54476,0.00053,0.03009,0.00059,0.00018,3.4221,5.3633,3.99522,0.000111146,0.000111146,0.000111146
42,954.419,3.00901,4.67469,3.54264,0.00125,0.02851,0.00095,0.00024,3.37589,5.36143,3.97879,0.00011095,0.00011095,0.00011095
43,978.18,2.93494,4.55411,3.4924,0.00038,0.03422,0.00055,0.00015,3.35392,5.27489,3.90104,0.000110753,0.000110753,0.000110753
44,1001.64,2.9294,4.42591,3.43958,0.00056,0.02966,0.00049,0.00015,3.38926,5.35151,3.9566,0.000110557,0.000110557,0.000110557
45,1025.44,2.89482,4.60574,3.39917,0.00036,0.03268,0.00041,0.00012,3.32526,5.29027,3.92107,0.000110361,0.000110361,0.000110361
46,1049.1,2.88316,4.48434,3.38095,0.00073,0.03231,0.00071,0.0002,3.24235,5.09435,3.83909,0.000110164,0.000110164,0.000110164
47,1072.52,2.83095,4.47368,3.34703,0.00213,0.03132,0.00154,0.00074,3.16245,5.02842,3.78737,0.000109968,0.000109968,0.000109968
48,1096.06,2.71767,4.51039,3.28377,0.00234,0.03351,0.00159,0.00069,3.10386,4.9398,3.72274,0.000109772,0.000109772,0.000109772
49,1119.89,2.76066,4.28439,3.24047,0.00181,0.04186,0.0015,0.00058,3.02807,4.7903,3.61831,0.000109575,0.000109575,0.000109575
50,1143.44,2.73088,4.32792,3.20597,0.00189,0.04175,0.00174,0.00062,3.05278,4.85921,3.65529,0.000109379,0.000109379,0.000109379
51,1166.96,2.75158,4.48434,3.22949,0.00175,0.04788,0.00178,0.00062,3.06187,4.82253,3.65453,0.000109183,0.000109183,0.000109183
52,1191.13,2.71513,4.237,3.14494,0.25217,0.02782,0.00257,0.00085,2.9337,4.64502,3.5271,0.000108986,0.000108986,0.000108986
53,1214.99,2.68424,4.35059,3.16939,0.00197,0.05162,0.00214,0.0007,2.98244,4.68841,3.59969,0.00010879,0.00010879,0.00010879
54,1238.71,2.53335,4.29183,3.08472,0.00379,0.05045,0.00315,0.00085,2.92557,4.62832,3.56835,0.000108593,0.000108593,0.000108593
55,1263.01,2.63649,4.25594,3.0893,0.0023,0.06038,0.00256,0.00083,2.84201,4.44644,3.45649,0.000108397,0.000108397,0.000108397
56,1287.08,2.55904,4.39837,3.00833,0.00202,0.05312,0.00226,0.00082,2.88126,4.52841,3.51056,0.000108201,0.000108201,0.000108201
57,1311.76,2.73107,4.15622,3.04717,0.00198,0.06896,0.00266,0.00093,2.81379,4.42641,3.40391,0.000108004,0.000108004,0.000108004
58,1336.41,2.64412,4.56501,3.08868,0.00202,0.06559,0.00247,0.0009,2.79151,4.4671,3.4047,0.000107808,0.000107808,0.000107808
59,1361.4,2.49486,4.09533,2.98974,0.00212,0.06994,0.00241,0.00082,2.79647,4.60228,3.39766,0.000107612,0.000107612,0.000107612
60,1386.88,2.57612,4.08959,2.96909,0.00198,0.07406,0.00231,0.00084,2.75565,4.92378,3.35454,0.000107415,0.000107415,0.000107415
61,1412.5,2.50728,4.14236,2.94832,0.35706,0.01215,0.0033,0.00123,2.69735,4.71101,3.29009,0.000107219,0.000107219,0.000107219
62,1438.24,2.30108,4.173,2.89345,0.22992,0.03535,0.00319,0.00123,2.71137,4.69311,3.27481,0.000107023,0.000107023,0.000107023
63,1463.96,2.52918,4.10939,2.93989,0.0025,0.08704,0.00275,0.00103,2.66474,5.33997,3.27254,0.000106826,0.000106826,0.000106826
64,1490.5,2.41874,4.10708,2.96409,0.00272,0.09664,0.00293,0.00109,2.63195,5.38913,3.20266,0.00010663,0.00010663,0.00010663
65,1516.84,2.53358,4.1065,2.94839,0.00278,0.10186,0.0034,0.00124,2.63697,4.7573,3.18125,0.000106434,0.000106434,0.000106434
66,1542.19,2.30694,4.14434,2.76093,0.00309,0.09817,0.00424,0.00162,2.61803,4.27816,3.20512,0.000106237,0.000106237,0.000106237
67,1567.34,2.4042,4.107,2.89297,0.00341,0.0977,0.00512,0.00198,2.60962,4.2116,3.20492,0.000106041,0.000106041,0.000106041
68,1592.46,2.43466,3.89849,2.84274,0.44235,0.00966,0.00521,0.0021,2.61357,4.19804,3.1948,0.000105845,0.000105845,0.000105845
69,1617.85,2.40799,4.06168,2.80649,0.4308,0.00922,0.00542,0.00221,2.61467,4.17882,3.16897,0.000105648,0.000105648,0.000105648
70,1643.34,2.34873,3.91706,2.79476,0.41184,0.00982,0.00611,0.00249,2.55471,4.08119,3.10706,0.000105452,0.000105452,0.000105452
71,1669.55,2.45147,4.14612,2.79648,0.52393,0.00825,0.00634,0.00255,2.52878,4.03753,3.03992,0.000105256,0.000105256,0.000105256
72,1695.14,2.38499,3.87028,2.76923,0.36443,0.01388,0.00652,0.00278,2.57136,4.13979,3.14046,0.000105059,0.000105059,0.000105059
73,1720.75,2.40112,3.8435,2.78984,0.43321,0.01093,0.00634,0.00251,2.56166,4.1403,3.10689,0.000104863,0.000104863,0.000104863
74,1746.39,2.26273,3.90234,2.67467,0.54733,0.00811,0.00703,0.00279,2.55049,3.9863,3.05896,0.000104666,0.000104666,0.000104666
