epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.919,3.64257,5.66569,4.1973,0.00108,0.00816,0.0006,0.00019,3.35011,5.35176,3.93646,0.00331884,0.00331884,0.00331884
2,500.535,2.73393,4.50884,3.08571,0.31643,0.03357,0.00846,0.00344,2.29076,4.0672,2.66085,0.0066412,0.0066412,0.0066412
3,591.373,1.94166,3.60303,2.17187,0.14687,0.07875,0.03621,0.01909,1.91872,3.27892,2.1695,0.00995256,0.00995256,0.00995256
4,680.452,1.66308,3.04376,1.85308,0.19718,0.1464,0.08509,0.0482,1.69855,2.77873,1.91106,0.0099505,0.0099505,0.0099505
5,770.908,1.51271,2.71485,1.69936,0.25303,0.18061,0.12335,0.07372,1.5534,2.5982,1.75607,0.009934,0.009934,0.009934
6,860.135,1.43068,2.44943,1.60794,0.30758,0.22221,0.17184,0.10661,1.48012,2.33692,1.66885,0.0099175,0.0099175,0.0099175
7,948.455,1.388,2.3199,1.57305,0.29489,0.23144,0.1942,0.12307,1.45036,2.18832,1.64718,0.009901,0.009901,0.009901
8,1036.06,1.33746,2.18765,1.52624,0.38397,0.26412,0.23712,0.15212,1.38541,2.02761,1.59372,0.0098845,0.0098845,0.0098845
9,1124.46,1.28327,2.05076,1.48361,0.39437,0.28101,0.2599,0.16959,1.34217,1.92892,1.54852,0.009868,0.009868,0.009868
10,1211.97,1.27029,2.00189,1.4681,0.40147,0.29824,0.28319,0.18587,1.3273,1.85854,1.53754,0.0098515,0.0098515,0.0098515
11,1299.95,1.26136,1.94038,1.45384,0.45407,0.31392,0.29823,0.19853,1.28416,1.79167,1.48998,0.009835,0.009835,0.009835
12,1388.06,1.22568,1.86154,1.4265,0.44356,0.32945,0.32138,0.21486,1.26897,1.74028,1.47054,0.0098185,0.0098185,0.0098185
13,1475.46,1.21475,1.8067,1.42342,0.45585,0.3439,0.33538,0.22565,1.25421,1.68369,1.45442,0.009802,0.009802,0.009802
14,1563.13,1.1932,1.78775,1.39892,0.46355,0.34814,0.3517,0.23726,1.22795,1.62661,1.43892,0.0097855,0.0097855,0.0097855
15,1650.82,1.17781,1.72126,1.38145,0.49116,0.36424,0.36803,0.24989,1.20986,1.5746,1.42049,0.009769,0.009769,0.009769
16,1738.19,1.1684,1.69143,1.37506,0.49852,0.36278,0.37487,0.25625,1.19737,1.54697,1.41179,0.0097525,0.0097525,0.0097525
17,1825.74,1.1617,1.62939,1.3555,0.51513,0.36707,0.38928,0.26704,1.18412,1.52021,1.39676,0.009736,0.009736,0.009736
18,1912.63,1.14463,1.60076,1.35257,0.50352,0.39288,0.39822,0.27352,1.17386,1.48269,1.38237,0.0097195,0.0097195,0.0097195
19,1999.88,1.13653,1.59008,1.34554,0.50657,0.40645,0.41083,0.28594,1.15334,1.44599,1.36545,0.009703,0.009703,0.009703
20,2086.79,1.12952,1.57155,1.34223,0.52736,0.40213,0.41746,0.29043,1.15523,1.42591,1.36387,0.0096865,0.0096865,0.0096865
21,2173.87,1.1297,1.52424,1.33828,0.52628,0.41108,0.43116,0.30074,1.14218,1.40205,1.35261,0.00967,0.00967,0.00967
22,2260.81,1.11302,1.51319,1.31369,0.55158,0.41662,0.43829,0.30737,1.13005,1.37419,1.34306,0.0096535,0.0096535,0.0096535
23,2348.04,1.0999,1.49743,1.31585,0.54948,0.43163,0.45046,0.31522,1.12381,1.35588,1.33262,0.009637,0.009637,0.009637
24,2435.17,1.09364,1.49921,1.30013,0.56604,0.42149,0.45103,0.31661,1.11836,1.34518,1.32629,0.0096205,0.0096205,0.0096205
25,2522.15,1.08671,1.47221,1.30842,0.56179,0.43618,0.46043,0.32411,1.10838,1.31662,1.32193,0.009604,0.009604,0.009604
26,2609.19,1.088,1.4367,1.29166,0.5722,0.4449,0.47165,0.33352,1.09946,1.2967,1.31167,0.0095875,0.0095875,0.0095875
27,2696.28,1.0797,1.42622,1.29711,0.57541,0.44873,0.47874,0.34005,1.09392,1.28013,1.3072,0.009571,0.009571,0.009571
28,2783.38,1.07586,1.40621,1.28773,0.5889,0.45509,0.48665,0.34443,1.08995,1.26209,1.30379,0.0095545,0.0095545,0.0095545
29,2870.69,1.05883,1.37367,1.27758,0.59543,0.45538,0.49098,0.34892,1.08504,1.25651,1.29651,0.009538,0.009538,0.009538
30,2957.69,1.06061,1.36541,1.27646,0.58286,0.46838,0.49631,0.35432,1.08047,1.23744,1.29411,0.0095215,0.0095215,0.0095215
31,3044.54,1.05742,1.36466,1.26772,0.59472,0.46972,0.50042,0.35742,1.06909,1.2261,1.28688,0.009505,0.009505,0.009505
