epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.914,3.59175,5.78067,4.32333,0,0,0,0,3.57922,5.39479,4.15913,1.309e-05,1.309e-05,1.309e-05
2,145.785,3.63624,5.75334,4.27719,0,0,0,0,3.57868,5.39504,4.15905,2.73248e-05,2.73248e-05,2.73248e-05
3,163.148,3.63449,5.71864,4.243,0,0,0,0,3.57823,5.39478,4.15918,4.15126e-05,4.15126e-05,4.15126e-05
4,180.456,3.5811,5.69615,4.20234,0,0,0,0,3.57747,5.3974,4.15927,5.56531e-05,5.56531e-05,5.56531e-05
5,197.714,3.64014,5.6144,4.15165,0,0,0,0,3.57539,5.40169,4.1559,6.97466e-05,6.97466e-05,6.97466e-05
6,215.057,3.62951,5.54332,4.0915,0,0,0,0,3.57378,5.41459,4.17658,8.3793e-05,8.3793e-05,8.3793e-05
7,232.355,3.60915,5.32847,4.00738,0,0,0,0,3.57329,5.46135,4.21938,9.77922e-05,9.77922e-05,9.77922e-05
8,249.664,3.53453,5.1737,3.94941,0,0,0,0,3.58164,5.60218,4.28903,0.000111744,0.000111744,0.000111744
9,266.916,3.39903,4.94694,3.85845,0.00053,0,0.00027,0.00011,3.57655,5.74113,4.28661,0.000117429,0.000117429,0.000117429
10,284.395,3.18133,4.97244,3.7546,0.00051,0.00017,0.00026,7e-05,3.52519,5.75487,4.20652,0.000117233,0.000117233,0.000117233
11,305.112,3.1235,4.84276,3.63243,0.00112,0.00623,0.00069,0.00021,3.36651,5.4142,3.98948,0.000117037,0.000117037,0.000117037
12,327.241,2.99193,4.76083,3.5283,0.0007,0.01684,0.00072,0.00024,3.24863,5.12142,3.82917,0.00011684,0.00011684,0.00011684
13,350.12,2.86779,4.57374,3.34545,0.13838,0.01363,0.00121,0.00039,3.02287,4.7042,3.54679,0.000116644,0.000116644,0.000116644
14,373.9,2.812,4.59984,3.23032,0.00135,0.05573,0.00129,0.00041,2.96972,5.19422,3.48262,0.000116447,0.000116447,0.000116447
15,398.873,2.71757,4.47396,3.12069,0.00149,0.07398,0.00143,0.00047,2.87604,5.46895,3.30494,0.000116251,0.000116251,0.000116251
16,423.378,2.68617,4.32577,2.9988,0.00368,0.0799,0.00419,0.0015,2.71568,4.14929,3.13097,0.000116055,0.000116055,0.000116055
17,447.786,2.58772,4.28357,2.91241,0.56566,0.00741,0.00462,0.00187,2.64345,4.06277,3.02283,0.000115858,0.000115858,0.000115858
18,473.517,2.52915,4.18161,2.79019,0.49781,0.01064,0.00499,0.00195,2.60293,4.40284,2.94695,0.000115662,0.000115662,0.000115662
19,498.076,2.50236,4.07853,2.71999,0.55121,0.00892,0.00661,0.00281,2.56348,3.95689,2.93435,0.000115466,0.000115466,0.000115466
20,523.161,2.40716,4.05734,2.65937,0.54231,0.00908,0.00799,0.00332,2.50266,3.86762,2.83236,0.000115269,0.000115269,0.000115269
21,548.571,2.39933,3.99407,2.62519,0.54993,0.01212,0.00931,0.00365,2.46047,3.81273,2.74858,0.000115073,0.000115073,0.000115073
22,574.006,2.30031,3.87282,2.57149,0.57015,0.01365,0.00927,0.00373,2.43145,3.77478,2.72981,0.000114877,0.000114877,0.000114877
23,599.356,2.34175,3.8744,2.54821,0.57546,0.01522,0.01045,0.00425,2.40575,3.74776,2.68603,0.00011468,0.00011468,0.00011468
24,624.851,2.30477,3.85351,2.50081,0.53257,0.01686,0.01188,0.00492,2.37558,3.71526,2.66727,0.000114484,0.000114484,0.000114484
25,650.335,2.29407,3.76772,2.45689,0.45136,0.01912,0.01225,0.00515,2.36254,3.67993,2.62846,0.000114288,0.000114288,0.000114288
26,675.782,2.23254,3.81982,2.40663,0.49201,0.02254,0.0142,0.00624,2.32988,3.63309,2.5906,0.000114091,0.000114091,0.000114091
27,701.956,2.22857,3.67473,2.40206,0.41453,0.02467,0.01465,0.00645,2.30861,3.63063,2.55409,0.000113895,0.000113895,0.000113895
28,728.054,2.18652,3.679,2.36666,0.40996,0.0307,0.01567,0.00695,2.2849,3.5867,2.50281,0.000113699,0.000113699,0.000113699
29,754.134,2.189,3.73073,2.32461,0.45413,0.02818,0.0178,0.00778,2.28729,3.56737,2.50165,0.000113502,0.000113502,0.000113502
30,779.84,2.17383,3.51338,2.29307,0.4125,0.03162,0.01838,0.0083,2.25906,3.53401,2.48317,0.000113306,0.000113306,0.000113306
31,806.211,2.13186,3.69263,2.29753,0.34877,0.03878,0.0202,0.00924,2.23843,3.51977,2.43513,0.00011311,0.00011311,0.00011311
32,832.047,2.13144,3.50782,2.24538,0.39263,0.03805,0.02132,0.00985,2.2343,3.48153,2.4239,0.000112913,0.000112913,0.000112913
33,857.95,2.09018,3.51665,2.23723,0.4055,0.04181,0.02217,0.01041,2.21994,3.4878,2.42157,0.000112717,0.000112717,0.000112717
34,884.496,2.07052,3.49512,2.22728,0.34929,0.04616,0.02294,0.01072,2.21066,3.46273,2.39035,0.00011252,0.00011252,0.00011252
35,910.982,2.02125,3.43731,2.1913,0.28002,0.04782,0.02511,0.01184,2.18985,3.44066,2.38063,0.000112324,0.000112324,0.000112324
36,938.331,2.09236,3.47319,2.19808,0.31905,0.05065,0.0264,0.01253,2.17416,3.41771,2.31646,0.000112128,0.000112128,0.000112128
37,964.417,2.06142,3.48158,2.20773,0.31334,0.04998,0.02842,0.01356,2.20911,3.41693,2.35153,0.000111931,0.000111931,0.000111931
38,992.444,2.11563,3.38219,2.20938,0.32518,0.05123,0.0295,0.01409,2.16646,3.39506,2.30161,0.000111735,0.000111735,0.000111735
39,1018.93,1.99649,3.40327,2.15626,0.27736,0.05375,0.03042,0.01478,2.16146,3.34311,2.29418,0.000111539,0.000111539,0.000111539
40,1044.55,2.08155,3.40838,2.14976,0.29938,0.05418,0.03325,0.01653,2.14094,3.32621,2.31121,0.000111342,0.000111342,0.000111342
41,1072.98,2.01525,3.35965,2.12797,0.26738,0.06084,0.03057,0.01473,2.15046,3.37907,2.25352,0.000111146,0.000111146,0.000111146
42,1099.44,2.04213,3.3601,2.13134,0.24455,0.06437,0.03544,0.01763,2.11232,3.28073,2.26735,0.00011095,0.00011095,0.00011095
43,1125.84,2.04567,3.29754,2.14704,0.29947,0.06467,0.03871,0.0195,2.10158,3.25138,2.24978,0.000110753,0.000110753,0.000110753
44,1151.71,1.96018,3.22365,2.06203,0.25195,0.06366,0.03826,0.01925,2.09825,3.24024,2.24768,0.000110557,0.000110557,0.000110557
45,1177.72,1.97407,3.29453,2.02858,0.28472,0.06616,0.03808,0.01893,2.09129,3.22682,2.24237,0.000110361,0.000110361,0.000110361
46,1205.01,1.90221,3.219,2.02225,0.24706,0.07052,0.03937,0.01984,2.08586,3.27048,2.20134,0.000110164,0.000110164,0.000110164
47,1231.69,1.97171,3.18515,2.02444,0.25838,0.07204,0.04116,0.02106,2.08449,3.21969,2.22299,0.000109968,0.000109968,0.000109968
48,1259.9,1.91863,3.26958,2.0105,0.22812,0.07827,0.04213,0.02132,2.07916,3.26723,2.1844,0.000109772,0.000109772,0.000109772
49,1286.7,1.92234,3.21176,1.98039,0.25022,0.07938,0.04628,0.02401,2.0489,3.16751,2.17795,0.000109575,0.000109575,0.000109575
50,1313.81,1.92311,3.12814,1.98669,0.24725,0.08206,0.04732,0.02438,2.04166,3.14488,2.17659,0.000109379,0.000109379,0.000109379
51,1340.86,1.92916,3.11437,1.98444,0.24946,0.08323,0.04873,0.02511,2.05314,3.15599,2.16536,0.000109183,0.000109183,0.000109183
52,1367.01,1.91273,3.06374,1.98661,0.24435,0.08286,0.04893,0.0256,2.03853,3.11776,2.16323,0.000108986,0.000108986,0.000108986
53,1393.59,1.94043,3.12374,2.00311,0.25941,0.08642,0.05087,0.02629,2.02806,3.09777,2.15072,0.00010879,0.00010879,0.00010879
54,1420.22,1.87947,3.10144,1.95394,0.25055,0.08543,0.04962,0.02553,2.03783,3.10914,2.14001,0.000108593,0.000108593,0.000108593
55,1446.07,1.88885,3.07941,1.97396,0.24129,0.09057,0.05396,0.02793,2.03225,3.08722,2.14971,0.000108397,0.000108397,0.000108397
56,1472.08,1.80633,3.07821,1.94034,0.2586,0.09089,0.05386,0.02852,2.01838,3.09763,2.1521,0.000108201,0.000108201,0.000108201
57,1498.81,1.86751,3.1238,1.95411,0.24499,0.0991,0.05712,0.03039,1.99091,3.04447,2.10726,0.000108004,0.000108004,0.000108004
58,1524.98,1.83139,3.07698,1.91133,0.24407,0.09527,0.05763,0.03084,1.98711,3.0208,2.11267,0.000107808,0.000107808,0.000107808
59,1551.53,1.86447,3.00647,1.92748,0.27288,0.09374,0.05735,0.03032,1.99406,3.02147,2.11131,0.000107612,0.000107612,0.000107612
60,1577.93,1.90043,2.99944,1.92793,0.2546,0.09842,0.05936,0.03128,1.98316,3.01433,2.10162,0.000107415,0.000107415,0.000107415
61,1604.47,1.78677,2.95917,1.88465,0.25095,0.09429,0.05954,0.03163,1.98726,3.01419,2.10203,0.000107219,0.000107219,0.000107219
62,1630.27,1.7883,2.95113,1.87106,0.29707,0.09656,0.06188,0.03308,1.98469,2.98996,2.10132,0.000107023,0.000107023,0.000107023
63,1656.97,1.81228,2.96311,1.88058,0.28518,0.10035,0.06488,0.03555,1.96778,2.98246,2.07895,0.000106826,0.000106826,0.000106826
64,1683.23,1.8784,2.97055,1.92968,0.2687,0.10068,0.06371,0.03433,1.9757,2.96593,2.07814,0.00010663,0.00010663,0.00010663
65,1709.19,1.8324,3.01709,1.88135,0.24945,0.10185,0.06373,0.03403,1.97122,2.97852,2.07649,0.000106434,0.000106434,0.000106434
66,1735.4,1.83479,2.87043,1.88943,0.23791,0.10629,0.06598,0.03576,1.96458,2.94705,2.06769,0.000106237,0.000106237,0.000106237
67,1761.25,1.83716,2.88903,1.86438,0.2488,0.10584,0.06656,0.03575,1.96412,2.95495,2.07512,0.000106041,0.000106041,0.000106041
68,1787.43,1.8125,2.92236,1.87899,0.25129,0.11008,0.06794,0.0367,1.96999,2.94249,2.05216,0.000105845,0.000105845,0.000105845
69,1813.72,1.7792,2.82332,1.85215,0.24807,0.10776,0.06958,0.03752,1.94305,2.91785,2.0375,0.000105648,0.000105648,0.000105648
70,1839.75,1.81784,2.86164,1.88274,0.26393,0.11216,0.072,0.0392,1.95838,2.92626,2.04333,0.000105452,0.000105452,0.000105452
71,1865.97,1.8181,2.84658,1.84909,0.24975,0.1119,0.07087,0.03854,1.95929,2.9058,2.04071,0.000105256,0.000105256,0.000105256
72,1892.42,1.75604,2.83463,1.84464,0.25048,0.11345,0.07397,0.04016,1.93562,2.8989,2.024,0.000105059,0.000105059,0.000105059
73,1918.44,1.77172,2.79344,1.86337,0.25501,0.11163,0.07376,0.03973,1.94206,2.90127,2.02367,0.000104863,0.000104863,0.000104863
74,1945.07,1.76397,2.75815,1.83623,0.24737,0.121,0.07635,0.04169,1.93234,2.8845,2.01982,0.000104666,0.000104666,0.000104666
75,1970.95,1.70516,2.79312,1.81482,0.2459,0.1206,0.07522,0.04152,1.92062,2.86318,2.01645,0.00010447,0.00010447,0.00010447
76,1997.18,1.7286,2.78317,1.79404,0.24168,0.12129,0.07953,0.04379,1.91841,2.85051,2.01806,0.000104274,0.000104274,0.000104274
77,2023.5,1.73586,2.76348,1.8099,0.25715,0.11585,0.07731,0.04213,1.93053,2.86135,2.01173,0.000104077,0.000104077,0.000104077
78,2049.67,1.74788,2.81859,1.83297,0.24701,0.11765,0.07778,0.04221,1.92819,2.86795,1.99834,0.000103881,0.000103881,0.000103881
79,2075.56,1.72657,2.72128,1.81725,0.2576,0.12257,0.08019,0.04425,1.92322,2.85102,2.02888,0.000103685,0.000103685,0.000103685
80,2101.49,1.73422,2.65705,1.77883,0.24273,0.11855,0.07992,0.04392,1.91306,2.83653,2.00929,0.000103488,0.000103488,0.000103488
81,2127.69,1.75525,2.73888,1.80666,0.2526,0.12712,0.08267,0.04555,1.9002,2.82243,1.98887,0.000103292,0.000103292,0.000103292
82,2154.33,1.73726,2.68666,1.79325,0.24791,0.12446,0.08401,0.04609,1.90604,2.8177,1.99102,0.000103096,0.000103096,0.000103096
83,2180.77,1.72152,2.6628,1.78023,0.24206,0.12928,0.08773,0.049,1.90352,2.84025,2.00305,0.000102899,0.000102899,0.000102899
84,2206.97,1.67168,2.6685,1.76178,0.25183,0.12256,0.08669,0.04797,1.89742,2.79617,1.98001,0.000102703,0.000102703,0.000102703
85,2232.72,1.69878,2.61179,1.77022,0.26357,0.12714,0.08741,0.04856,1.89552,2.79186,1.99377,0.000102507,0.000102507,0.000102507
86,2258.39,1.70355,2.66531,1.74832,0.25373,0.12407,0.08519,0.04801,1.90819,2.79681,1.99122,0.00010231,0.00010231,0.00010231
87,2284.23,1.72507,2.66926,1.78696,0.27734,0.12558,0.08654,0.04858,1.91124,2.81684,1.99016,0.000102114,0.000102114,0.000102114
88,2309.62,1.65919,2.64245,1.73683,0.24453,0.13346,0.09159,0.05126,1.89419,2.77102,2.00089,0.000101918,0.000101918,0.000101918
89,2335.62,1.6807,2.61448,1.74483,0.25192,0.13555,0.09296,0.05167,1.88496,2.747,1.96305,0.000101721,0.000101721,0.000101721
90,2361.73,1.66621,2.68208,1.71886,0.24568,0.13104,0.09136,0.05112,1.88802,2.75673,1.96428,0.000101525,0.000101525,0.000101525
