epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.823,3.63804,5.76922,4.26718,0.0016,0.0211,0.00091,0.00027,3.55071,16.9617,5.48209,0.00332121,0.00332121,0.00332121
2,596.019,3.19114,5.13382,3.65282,0.19812,0.01344,0.0035,0.00145,2.50636,4.14483,2.98195,0.00664357,0.00664357,0.00664357
3,673.444,1.99898,3.63133,2.23044,0.21213,0.09358,0.04528,0.02331,1.87316,3.15062,2.14862,0.00995492,0.00995492,0.00995492
4,750.376,1.66091,2.96073,1.85573,0.20345,0.16168,0.1066,0.0611,1.64754,2.67915,1.86644,0.0099505,0.0099505,0.0099505
5,825.651,1.50887,2.59217,1.71074,0.31149,0.20739,0.16588,0.10195,1.52656,2.31053,1.75314,0.009934,0.009934,0.009934
6,900.98,1.42488,2.36471,1.62496,0.33416,0.24329,0.20286,0.12609,1.4737,2.16922,1.68859,0.0099175,0.0099175,0.0099175
7,975.564,1.38082,2.20363,1.57035,0.39163,0.2683,0.2483,0.15855,1.40209,1.99224,1.62785,0.009901,0.009901,0.009901
8,1050.8,1.34575,2.11205,1.54329,0.39644,0.28916,0.27399,0.17716,1.36468,1.91439,1.5764,0.0098845,0.0098845,0.0098845
9,1125.21,1.30268,1.9804,1.49879,0.42871,0.31071,0.30479,0.19839,1.3364,1.8069,1.54772,0.009868,0.009868,0.009868
10,1199.26,1.28283,1.89887,1.47348,0.46403,0.32835,0.32411,0.21469,1.30226,1.73988,1.51883,0.0098515,0.0098515,0.0098515
11,1273.31,1.24401,1.83894,1.45036,0.48554,0.33505,0.34454,0.22904,1.2822,1.6659,1.49101,0.009835,0.009835,0.009835
12,1347.33,1.23896,1.77342,1.43238,0.47618,0.36029,0.36115,0.24201,1.25819,1.61946,1.47273,0.0098185,0.0098185,0.0098185
13,1421.21,1.21847,1.76191,1.41676,0.4997,0.36402,0.37229,0.25025,1.24543,1.57555,1.45739,0.009802,0.009802,0.009802
14,1495.05,1.20421,1.69842,1.40484,0.50164,0.38461,0.38902,0.26288,1.22949,1.52804,1.43837,0.0097855,0.0097855,0.0097855
15,1568.9,1.19793,1.68148,1.39396,0.49873,0.39573,0.40252,0.27291,1.2096,1.495,1.4172,0.009769,0.009769,0.009769
16,1642.73,1.16696,1.6247,1.36617,0.51658,0.40664,0.41732,0.28576,1.19884,1.46105,1.40486,0.0097525,0.0097525,0.0097525
17,1716.46,1.15912,1.5857,1.35952,0.53603,0.41049,0.42853,0.29342,1.18375,1.43349,1.3849,0.009736,0.009736,0.009736
18,1790.02,1.16611,1.5685,1.36201,0.54338,0.41435,0.43576,0.3,1.17596,1.40783,1.37554,0.0097195,0.0097195,0.0097195
19,1863.39,1.14791,1.54418,1.34337,0.54831,0.42923,0.44407,0.30513,1.16888,1.38829,1.37133,0.009703,0.009703,0.009703
20,1937.03,1.1418,1.51093,1.34157,0.57077,0.42702,0.45574,0.3154,1.15339,1.36017,1.35163,0.0096865,0.0096865,0.0096865
21,2010.78,1.13775,1.50196,1.3267,0.5585,0.43896,0.46299,0.32133,1.14652,1.34079,1.34899,0.00967,0.00967,0.00967
22,2084.34,1.12203,1.47958,1.32225,0.5796,0.44143,0.47047,0.32721,1.1343,1.3184,1.33779,0.0096535,0.0096535,0.0096535
23,2157.98,1.11229,1.43989,1.31153,0.57704,0.45502,0.479,0.33223,1.12877,1.29569,1.33057,0.009637,0.009637,0.009637
24,2231.61,1.11523,1.45166,1.31127,0.597,0.45273,0.48766,0.34047,1.12104,1.27539,1.32057,0.0096205,0.0096205,0.0096205
25,2305.16,1.10023,1.41299,1.29293,0.58057,0.4666,0.49049,0.34547,1.11413,1.26293,1.31769,0.009604,0.009604,0.009604
26,2378.58,1.09434,1.42036,1.29258,0.59893,0.46372,0.49913,0.35115,1.10621,1.24655,1.30632,0.0095875,0.0095875,0.0095875
27,2452.03,1.06957,1.37882,1.27872,0.59759,0.46831,0.50248,0.35433,1.09869,1.24017,1.29909,0.009571,0.009571,0.009571
28,2525.58,1.06899,1.37433,1.28239,0.60301,0.47154,0.50417,0.35615,1.09308,1.22882,1.29517,0.0095545,0.0095545,0.0095545
29,2598.88,1.07386,1.37153,1.27722,0.62034,0.46914,0.51116,0.36203,1.08688,1.21044,1.28758,0.009538,0.009538,0.009538
30,2672.16,1.07713,1.34808,1.27521,0.60516,0.48616,0.51821,0.36717,1.08338,1.19991,1.2824,0.0095215,0.0095215,0.0095215
31,2745.51,1.07312,1.32702,1.26295,0.62355,0.47835,0.52173,0.36915,1.07625,1.18998,1.27616,0.009505,0.009505,0.009505
32,2818.82,1.07458,1.33,1.26624,0.61189,0.48883,0.52446,0.37279,1.07365,1.17868,1.27228,0.0094885,0.0094885,0.0094885
33,2892.2,1.07248,1.32515,1.26466,0.61872,0.49492,0.53066,0.37783,1.06886,1.16943,1.26847,0.009472,0.009472,0.009472
34,2965.48,1.05673,1.30736,1.25416,0.61675,0.49971,0.5342,0.38119,1.06316,1.15851,1.26269,0.0094555,0.0094555,0.0094555
35,3038.86,1.05115,1.30258,1.25505,0.63036,0.49948,0.53753,0.38421,1.062,1.15056,1.25917,0.009439,0.009439,0.009439
36,3112.09,1.0519,1.29332,1.25059,0.64075,0.49707,0.54178,0.3876,1.05847,1.14405,1.25717,0.0094225,0.0094225,0.0094225
37,3185.53,1.0394,1.28072,1.24407,0.61832,0.5096,0.54448,0.3905,1.05534,1.13701,1.25179,0.009406,0.009406,0.009406
38,3259.14,1.02986,1.26517,1.24199,0.62698,0.51318,0.54937,0.39319,1.05079,1.12916,1.24782,0.0093895,0.0093895,0.0093895
39,3332.33,1.05055,1.27481,1.2471,0.64352,0.50411,0.55123,0.3958,1.04692,1.12318,1.24376,0.009373,0.009373,0.009373
40,3405.34,1.03457,1.24473,1.2369,0.63468,0.51341,0.55305,0.39717,1.04495,1.11521,1.24211,0.0093565,0.0093565,0.0093565
41,3478.47,1.04134,1.25601,1.24018,0.64159,0.5148,0.55535,0.4,1.04339,1.10966,1.23987,0.00934,0.00934,0.00934
42,3551.77,1.02643,1.24203,1.23147,0.63601,0.51832,0.5584,0.40206,1.04092,1.10405,1.23741,0.0093235,0.0093235,0.0093235
43,3624.97,1.01517,1.22573,1.224,0.64461,0.51672,0.56013,0.40392,1.03769,1.09901,1.2336,0.009307,0.009307,0.009307
44,3698.29,1.02094,1.22163,1.22353,0.64631,0.52013,0.56191,0.40519,1.03615,1.09585,1.23228,0.0092905,0.0092905,0.0092905
45,3771.83,1.02441,1.20905,1.22018,0.63202,0.52687,0.56383,0.40705,1.03374,1.09221,1.22813,0.009274,0.009274,0.009274
46,3845.15,1.01839,1.21288,1.21951,0.64025,0.52661,0.5662,0.4094,1.03137,1.08633,1.22503,0.0092575,0.0092575,0.0092575
47,3918.51,1.02376,1.20823,1.22148,0.65619,0.52286,0.56852,0.41128,1.02973,1.08117,1.22334,0.009241,0.009241,0.009241
48,3991.94,1.02242,1.20322,1.2166,0.64804,0.52907,0.57,0.41348,1.02779,1.07628,1.2215,0.0092245,0.0092245,0.0092245
49,4065.28,1.02234,1.20633,1.21862,0.65444,0.52731,0.57238,0.41544,1.02658,1.07294,1.22052,0.009208,0.009208,0.009208
50,4138.53,1.00703,1.18622,1.20793,0.65811,0.52617,0.57338,0.41672,1.02518,1.0686,1.21911,0.0091915,0.0091915,0.0091915
51,4211.83,1.01083,1.18753,1.21128,0.64992,0.53275,0.57358,0.41688,1.02326,1.06623,1.21645,0.009175,0.009175,0.009175
52,4285.25,1.01867,1.1745,1.20895,0.65253,0.5336,0.57581,0.419,1.02159,1.06227,1.21489,0.0091585,0.0091585,0.0091585
53,4358.41,1.00388,1.17674,1.19896,0.65251,0.53556,0.57788,0.42004,1.02023,1.05936,1.2134,0.009142,0.009142,0.009142
54,4431.47,1.00888,1.17412,1.20587,0.65475,0.53604,0.57867,0.4211,1.01958,1.05632,1.21224,0.0091255,0.0091255,0.0091255
55,4504.59,0.99626,1.16739,1.20556,0.65595,0.53768,0.58026,0.42241,1.01834,1.05337,1.211,0.009109,0.009109,0.009109
56,4577.93,0.99589,1.15076,1.19585,0.65522,0.54093,0.5808,0.42332,1.01725,1.05062,1.20961,0.0090925,0.0090925,0.0090925
57,4651.07,0.99985,1.15238,1.20235,0.65863,0.53923,0.58282,0.42497,1.01592,1.04857,1.20858,0.009076,0.009076,0.009076
58,4724.28,0.99906,1.15313,1.19404,0.65979,0.54034,0.58363,0.42584,1.01469,1.04666,1.20701,0.0090595,0.0090595,0.0090595
59,4797.43,1.00256,1.1561,1.19569,0.66473,0.53822,0.58439,0.42695,1.01351,1.04478,1.20568,0.009043,0.009043,0.009043
60,4870.54,0.99938,1.14797,1.19333,0.6631,0.53955,0.58521,0.42752,1.01273,1.04296,1.20465,0.0090265,0.0090265,0.0090265
61,4943.53,0.99229,1.13759,1.19314,0.66502,0.54069,0.58642,0.42835,1.01189,1.04108,1.20373,0.00901,0.00901,0.00901
62,5016.56,0.99113,1.12623,1.1856,0.66963,0.5384,0.5873,0.42884,1.01139,1.03912,1.20279,0.0089935,0.0089935,0.0089935
63,5089.78,0.98493,1.12909,1.18496,0.66972,0.54008,0.58828,0.42949,1.01079,1.03752,1.2021,0.008977,0.008977,0.008977
64,5162.98,1.00012,1.13616,1.19253,0.66989,0.54064,0.58928,0.4304,1.01005,1.03613,1.20136,0.0089605,0.0089605,0.0089605
65,5235.99,0.97373,1.11451,1.181,0.66993,0.54423,0.59045,0.43124,1.00958,1.03454,1.20065,0.008944,0.008944,0.008944
66,5309.15,0.99102,1.11219,1.18823,0.67036,0.54437,0.59097,0.43219,1.00894,1.03284,1.19995,0.0089275,0.0089275,0.0089275
67,5382.11,0.97137,1.10524,1.18181,0.67033,0.54607,0.59185,0.43298,1.00813,1.03149,1.19899,0.008911,0.008911,0.008911
68,5455.35,0.97366,1.10294,1.17277,0.67106,0.54526,0.59237,0.43335,1.00763,1.02997,1.19836,0.0088945,0.0088945,0.0088945
69,5528.37,0.98713,1.11329,1.18311,0.67435,0.54436,0.59274,0.43381,1.00726,1.02871,1.19775,0.008878,0.008878,0.008878
70,5601.42,0.98932,1.099,1.17467,0.6758,0.54489,0.59332,0.43443,1.00656,1.02743,1.19696,0.0088615,0.0088615,0.0088615
71,5674.45,0.97956,1.08803,1.17244,0.67994,0.54277,0.59392,0.43504,1.00593,1.02618,1.19616,0.008845,0.008845,0.008845
72,5747.65,0.98103,1.09671,1.16976,0.67747,0.54568,0.59453,0.43546,1.00524,1.02477,1.19531,0.0088285,0.0088285,0.0088285
73,5820.96,0.96592,1.10059,1.17215,0.67386,0.54763,0.59515,0.43591,1.00473,1.0236,1.19467,0.008812,0.008812,0.008812
74,5893.95,0.98033,1.09595,1.17252,0.676,0.54785,0.5956,0.4365,1.00426,1.02222,1.19405,0.0087955,0.0087955,0.0087955
75,5966.98,0.97289,1.09487,1.17185,0.67629,0.54765,0.59602,0.43688,1.00354,1.0212,1.19328,0.008779,0.008779,0.008779
76,6040.04,0.97224,1.07821,1.16716,0.67648,0.54844,0.59635,0.43738,1.00278,1.01987,1.19252,0.0087625,0.0087625,0.0087625
77,6113.33,0.97387,1.08442,1.16772,0.67484,0.5501,0.59711,0.43772,1.00234,1.01854,1.19193,0.008746,0.008746,0.008746
78,6186.44,0.97569,1.08273,1.17231,0.67694,0.55009,0.59742,0.43822,1.00197,1.01749,1.1914,0.0087295,0.0087295,0.0087295
79,6259.43,0.97183,1.08309,1.16836,0.67426,0.55168,0.59799,0.43866,1.00162,1.01624,1.19097,0.008713,0.008713,0.008713
80,6332.61,0.95563,1.05923,1.16528,0.6739,0.55213,0.59839,0.43899,1.00124,1.01523,1.19033,0.0086965,0.0086965,0.0086965
81,6405.79,0.97195,1.06386,1.15885,0.67513,0.55188,0.59899,0.43947,1.00079,1.01431,1.18964,0.00868,0.00868,0.00868
82,6478.87,0.97495,1.06517,1.16104,0.67615,0.55187,0.59942,0.44009,1.00062,1.01315,1.18917,0.0086635,0.0086635,0.0086635
83,6551.86,0.9684,1.06284,1.16258,0.67812,0.55208,0.60009,0.44066,1.00047,1.01201,1.18881,0.008647,0.008647,0.008647
84,6624.97,0.96268,1.06969,1.16114,0.67872,0.55306,0.60055,0.44097,1.0003,1.01097,1.18838,0.0086305,0.0086305,0.0086305
85,6698.01,0.96858,1.06584,1.15997,0.68155,0.55098,0.60124,0.44126,1.00006,1.00989,1.18795,0.008614,0.008614,0.008614
86,6771.21,0.96181,1.04737,1.15742,0.68008,0.5515,0.60151,0.44191,0.99974,1.00916,1.18744,0.0085975,0.0085975,0.0085975
87,6844.23,0.95371,1.05185,1.15416,0.67759,0.5535,0.60174,0.44223,0.99957,1.00836,1.18711,0.008581,0.008581,0.008581
88,6917.43,0.95556,1.05125,1.15315,0.67884,0.55302,0.602,0.4424,0.99926,1.00743,1.18668,0.0085645,0.0085645,0.0085645
89,6990.41,0.95291,1.05285,1.15326,0.68221,0.55064,0.60242,0.4429,0.99899,1.00633,1.18627,0.008548,0.008548,0.008548
90,7063.31,0.96103,1.0505,1.16092,0.68041,0.55202,0.60268,0.44319,0.9986,1.00539,1.18558,0.0085315,0.0085315,0.0085315
91,7136.21,0.96007,1.05095,1.15675,0.68106,0.55203,0.60332,0.44348,0.99833,1.00426,1.18506,0.008515,0.008515,0.008515
92,7209.08,0.95691,1.0494,1.15582,0.6818,0.5531,0.60383,0.444,0.9982,1.00313,1.1846,0.0084985,0.0084985,0.0084985
93,7282,0.95774,1.04705,1.1516,0.68283,0.55322,0.60425,0.44438,0.99787,1.0023,1.1842,0.008482,0.008482,0.008482
94,7354.96,0.95227,1.03956,1.15183,0.68263,0.55382,0.60503,0.44493,0.99769,1.00161,1.18381,0.0084655,0.0084655,0.0084655
95,7427.72,0.95518,1.04266,1.15445,0.68249,0.55408,0.60563,0.44558,0.99751,1.00092,1.18328,0.008449,0.008449,0.008449
96,7500.55,0.95213,1.02929,1.15076,0.68174,0.55558,0.60619,0.44588,0.99726,1.00016,1.18268,0.0084325,0.0084325,0.0084325
97,7573.48,0.94912,1.02922,1.14821,0.68258,0.55553,0.6063,0.44603,0.99699,0.99951,1.18235,0.008416,0.008416,0.008416
98,7646.52,0.96066,1.03611,1.14849,0.68151,0.55605,0.60654,0.44629,0.99668,0.99896,1.18189,0.0083995,0.0083995,0.0083995
99,7719.79,0.93801,1.01318,1.13805,0.68337,0.55508,0.60676,0.44662,0.99622,0.99803,1.18132,0.008383,0.008383,0.008383
100,7792.58,0.94064,1.03787,1.14728,0.68163,0.55627,0.6071,0.44692,0.99592,0.99718,1.18093,0.0083665,0.0083665,0.0083665
101,7865.6,0.94872,1.02054,1.14313,0.68549,0.55411,0.60761,0.44733,0.99558,0.99649,1.18044,0.00835,0.00835,0.00835
102,7938.42,0.9553,1.0302,1.14842,0.6864,0.55453,0.60773,0.44766,0.99545,0.99613,1.18005,0.0083335,0.0083335,0.0083335
103,8011.29,0.95096,1.02231,1.15269,0.68431,0.55605,0.6081,0.44792,0.99504,0.9953,1.17947,0.008317,0.008317,0.008317
104,8084.23,0.93277,1.01124,1.13725,0.68602,0.55602,0.60851,0.44818,0.99468,0.99433,1.17882,0.0083005,0.0083005,0.0083005
105,8157.3,0.94973,1.02941,1.14756,0.68743,0.55549,0.60893,0.44862,0.99403,0.99375,1.17811,0.008284,0.008284,0.008284
