epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3088,3.48322,5.67918,4.26234,0,0,0,0,3.57916,5.39486,4.15914,2.38e-06,2.38e-06,2.38e-06
2,40.7996,3.70543,5.65532,4.2646,0,0,0,0,3.57921,5.39553,4.15957,5.94018e-06,5.94018e-06,5.94018e-06
3,50.2356,3.70621,5.68922,4.30612,0,0,0,0,3.57929,5.39509,4.15973,9.48858e-06,9.48858e-06,9.48858e-06
4,59.6168,3.55761,5.6567,4.26664,0,0,0,0,3.57926,5.39559,4.16011,1.30252e-05,1.30252e-05,1.30252e-05
5,69.0551,3.55912,5.72607,4.30829,0,0,0,0,3.57932,5.39545,4.16025,1.655e-05,1.655e-05,1.655e-05
6,78.5289,3.6383,5.66596,4.29302,0,0,0,0,3.57971,5.39565,4.16098,2.00631e-05,2.00631e-05,2.00631e-05
7,88.0715,3.66685,5.71386,4.25107,0,0,0,0,3.57943,5.39609,4.16083,2.35644e-05,2.35644e-05,2.35644e-05
8,97.645,3.61435,5.70362,4.23424,0,0,0,0,3.57909,5.39651,4.16132,2.70539e-05,2.70539e-05,2.70539e-05
9,107.212,3.62042,5.71628,4.25997,0,0,0,0,3.57928,5.39631,4.16147,3.05316e-05,3.05316e-05,3.05316e-05
10,116.79,3.67001,5.81085,4.24842,0,0,0,0,3.57878,5.39584,4.16153,3.39975e-05,3.39975e-05,3.39975e-05
11,126.432,3.65999,5.75082,4.21947,0,0,0,0,3.57873,5.39629,4.16161,3.74517e-05,3.74517e-05,3.74517e-05
12,136.09,3.6933,5.74115,4.23069,0,0,0,0,3.57811,5.39632,4.1613,4.08941e-05,4.08941e-05,4.08941e-05
13,145.69,3.72335,5.73592,4.20257,0,0,0,0,3.57782,5.39626,4.16114,4.43246e-05,4.43246e-05,4.43246e-05
14,155.295,3.69309,5.75054,4.20259,0,0,0,0,3.57753,5.39616,4.16102,4.77435e-05,4.77435e-05,4.77435e-05
15,164.889,3.53615,5.7079,4.21262,0,0,0,0,3.57719,5.39618,4.16081,5.11505e-05,5.11505e-05,5.11505e-05
16,174.415,3.72989,5.71595,4.19065,0,0,0,0,3.57574,5.39713,4.16045,5.45457e-05,5.45457e-05,5.45457e-05
17,184.042,3.65992,5.6751,4.18215,0,0,0,0,3.57497,5.39678,4.16028,5.79292e-05,5.79292e-05,5.79292e-05
18,193.61,3.62438,5.68321,4.17436,0,0,0,0,3.57387,5.3969,4.15917,6.13009e-05,6.13009e-05,6.13009e-05
