epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.628,3.65019,5.76983,4.2447,0.00121,0.00352,0.00067,0.0002,3.51783,5.35412,4.15339,0.00332425,0.00332425,0.00332425
2,542.223,2.66206,4.59486,2.99571,0.40724,0.02178,0.01253,0.0062,2.19047,3.77195,2.50817,0.0066466,0.0066466,0.0066466
3,666.101,1.95624,3.72201,2.15471,0.24765,0.0704,0.03108,0.01606,1.89806,3.31455,2.12639,0.00995795,0.00995795,0.00995795
4,790.54,1.72434,3.20412,1.88324,0.23812,0.12175,0.07369,0.04087,1.72138,2.87376,1.90872,0.0099505,0.0099505,0.0099505
5,912.42,1.61817,2.88051,1.76958,0.27281,0.15425,0.10611,0.06127,1.6596,2.60871,1.82537,0.009934,0.009934,0.009934
6,1034.66,1.54605,2.66718,1.69383,0.25782,0.1936,0.143,0.08575,1.59061,2.42095,1.75586,0.0099175,0.0099175,0.0099175
7,1156.43,1.49694,2.54253,1.64328,0.30303,0.211,0.16789,0.10311,1.54892,2.29032,1.70545,0.009901,0.009901,0.009901
8,1277.61,1.47409,2.41622,1.6072,0.33825,0.22843,0.19775,0.12252,1.51726,2.17746,1.6643,0.0098845,0.0098845,0.0098845
9,1398.88,1.44927,2.3335,1.58511,0.33084,0.24267,0.21614,0.13574,1.49115,2.11173,1.64232,0.009868,0.009868,0.009868
10,1520.13,1.4347,2.26042,1.55629,0.39235,0.25155,0.23131,0.14688,1.46988,2.03752,1.61199,0.0098515,0.0098515,0.0098515
11,1641.11,1.40288,2.19465,1.53215,0.42697,0.26291,0.25392,0.16195,1.43928,1.97291,1.57668,0.009835,0.009835,0.009835
12,1761.84,1.38288,2.14992,1.51518,0.39994,0.27721,0.26605,0.17161,1.42609,1.92443,1.56012,0.0098185,0.0098185,0.0098185
13,1882.76,1.37755,2.1269,1.51067,0.38956,0.29478,0.27714,0.18019,1.40893,1.87277,1.53528,0.009802,0.009802,0.009802
14,2003.85,1.37279,2.08368,1.49442,0.44573,0.29418,0.29141,0.18974,1.39616,1.84326,1.51955,0.0097855,0.0097855,0.0097855
15,2124.76,1.35374,2.0603,1.48164,0.4344,0.30827,0.30397,0.19915,1.37659,1.79775,1.50474,0.009769,0.009769,0.009769
16,2245.88,1.34064,2.03253,1.46487,0.4535,0.31482,0.31336,0.2076,1.36463,1.76142,1.49097,0.0097525,0.0097525,0.0097525
17,2367.08,1.33815,1.9734,1.45248,0.44694,0.31985,0.3242,0.21532,1.35015,1.73197,1.47542,0.009736,0.009736,0.009736
18,2488.04,1.32098,1.94445,1.44276,0.46372,0.32331,0.33249,0.22114,1.33815,1.70404,1.45844,0.0097195,0.0097195,0.0097195
19,2609.21,1.31987,1.92153,1.43774,0.4725,0.3304,0.34052,0.22686,1.32618,1.67873,1.45388,0.009703,0.009703,0.009703
20,2731.04,1.30983,1.9252,1.42924,0.47581,0.33874,0.34684,0.23253,1.3226,1.6589,1.44461,0.0096865,0.0096865,0.0096865
21,2852.77,1.29613,1.89928,1.41889,0.50286,0.33653,0.3537,0.237,1.31035,1.63921,1.42449,0.00967,0.00967,0.00967
22,2974.07,1.31271,1.87006,1.40963,0.49618,0.3496,0.36034,0.24358,1.3009,1.61487,1.4166,0.0096535,0.0096535,0.0096535
23,3095.53,1.30131,1.86095,1.40802,0.50267,0.35224,0.36698,0.24754,1.29607,1.60587,1.41178,0.009637,0.009637,0.009637
24,3217.05,1.27919,1.84022,1.39246,0.51915,0.35475,0.37319,0.25284,1.29182,1.58653,1.4045,0.0096205,0.0096205,0.0096205
