epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2955,3.631,5.78299,4.23141,0,0,0,0,3.5799,5.38993,4.15387,0.00326087,0.00326087,0.00326087
2,112.158,3.65657,5.77845,4.21389,0,0,0,0,3.58062,5.38867,4.14936,0.00658332,0.00658332,0.00658332
3,162.231,3.57943,5.61261,4.07983,0.00011,0.0008,6e-05,1e-05,3.36136,inf,5.72401,0.00989478,0.00989478,0.00989478
4,364.316,2.98458,4.79229,3.13696,0.00065,0.01042,0.00047,0.00012,2.96231,24.0471,3.28922,0.0099505,0.0099505,0.0099505
5,405.96,2.47186,4.36159,2.55483,0.2052,0.0218,0.00233,0.00095,2.57544,5.45315,2.71762,0.009934,0.009934,0.009934
6,447.515,2.20185,4.09681,2.27716,0.27442,0.02229,0.00606,0.00256,2.28135,4.62891,2.44396,0.0099175,0.0099175,0.0099175
7,477.138,2.07869,3.83933,2.09417,0.27164,0.03599,0.0122,0.00567,2.14619,3.82012,2.19734,0.009901,0.009901,0.009901
8,503.417,2.00956,3.70788,2.02458,0.28207,0.04323,0.01635,0.00783,2.02502,3.54655,2.11809,0.0098845,0.0098845,0.0098845
9,531.073,1.89249,3.5207,1.92106,0.30093,0.05284,0.02267,0.01095,2.02122,3.47929,2.09772,0.009868,0.009868,0.009868
10,557.939,1.83691,3.42324,1.87032,0.3163,0.06683,0.03356,0.017,1.92859,3.26534,1.99199,0.0098515,0.0098515,0.0098515
11,586.068,1.79358,3.33704,1.82316,0.29659,0.07779,0.04141,0.02157,1.88182,3.21858,1.93858,0.009835,0.009835,0.009835
12,612.485,1.77631,3.20659,1.77568,0.22957,0.09216,0.04869,0.02611,1.85962,3.11646,1.88434,0.0098185,0.0098185,0.0098185
13,638.869,1.74225,3.14679,1.75409,0.22334,0.1097,0.05906,0.03265,1.79771,2.95825,1.83657,0.009802,0.009802,0.009802
14,665.914,1.7184,3.08644,1.72594,0.26815,0.11554,0.06395,0.03499,1.80196,2.93164,1.82511,0.0097855,0.0097855,0.0097855
15,694.962,1.67391,3.01207,1.69208,0.24156,0.11648,0.06834,0.03871,1.76854,2.95308,1.78573,0.009769,0.009769,0.009769
16,722.107,1.68345,2.96929,1.69081,0.22935,0.13155,0.07431,0.04179,1.74764,2.83667,1.77715,0.0097525,0.0097525,0.0097525
17,747.555,1.63736,2.84204,1.65582,0.1964,0.14073,0.08856,0.05141,1.71139,2.72266,1.74298,0.009736,0.009736,0.009736
18,772.994,1.64672,2.87228,1.65448,0.22891,0.14744,0.09366,0.05465,1.70347,2.68104,1.73985,0.0097195,0.0097195,0.0097195
19,798.613,1.59216,2.7673,1.62973,0.2383,0.14831,0.09913,0.0576,1.67276,2.63918,1.70956,0.009703,0.009703,0.009703
20,824.364,1.58524,2.76162,1.62914,0.22551,0.16269,0.11473,0.06716,1.65902,2.55674,1.70709,0.0096865,0.0096865,0.0096865
21,850.779,1.57106,2.68585,1.6087,0.24646,0.16817,0.11398,0.06703,1.65187,2.58785,1.67926,0.00967,0.00967,0.00967
22,875.75,1.58705,2.63901,1.58549,0.26915,0.17437,0.12653,0.07505,1.63822,2.5068,1.67146,0.0096535,0.0096535,0.0096535
23,901.359,1.55699,2.60275,1.56917,0.25703,0.17206,0.12648,0.0752,1.62991,2.49495,1.67298,0.009637,0.009637,0.009637
24,927.703,1.54496,2.56783,1.57305,0.27105,0.18885,0.13798,0.08315,1.60961,2.44503,1.63953,0.0096205,0.0096205,0.0096205
25,953.436,1.5031,2.52572,1.55642,0.26124,0.19014,0.14417,0.08796,1.59428,2.42026,1.6255,0.009604,0.009604,0.009604
26,980.328,1.515,2.41529,1.53267,0.25674,0.19944,0.14504,0.08695,1.5773,2.43217,1.61542,0.0095875,0.0095875,0.0095875
27,1005.4,1.49302,2.43568,1.53239,0.24988,0.19603,0.15453,0.09488,1.58964,2.3952,1.62632,0.009571,0.009571,0.009571
