epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3984,3.59678,5.78536,4.2636,0,0,0,0,3.5796,5.39298,4.15755,1.309e-05,1.309e-05,1.309e-05
2,66.2769,3.57089,5.73725,4.23662,0,0,0,0,3.57968,5.3917,4.15589,2.73248e-05,2.73248e-05,2.73248e-05
3,78.2769,3.64762,5.75176,4.21075,0,0,0,0,3.57903,5.39012,4.15237,4.15126e-05,4.15126e-05,4.15126e-05
4,90.2108,3.66323,5.72705,4.16928,0,0,0,0,3.57746,5.38861,4.148,5.56531e-05,5.56531e-05,5.56531e-05
5,102.178,3.49932,5.6873,4.13468,0,0,0,0,3.57521,5.3863,4.14359,6.97466e-05,6.97466e-05,6.97466e-05
6,114.157,3.65658,5.61126,4.06894,0,0,0,0,3.57056,5.38905,4.15458,8.3793e-05,8.3793e-05,8.3793e-05
7,126.117,3.6145,5.57731,4.00129,0,0,0,0,3.5815,5.4197,4.22026,9.77922e-05,9.77922e-05,9.77922e-05
8,138.125,3.52914,5.51403,3.92255,0,0,0,0,3.60247,5.52542,4.29815,0.000111744,0.000111744,0.000111744
9,150.086,3.38209,5.3432,3.84303,0,0,0,0,3.55017,5.46308,4.15233,0.000117429,0.000117429,0.000117429
10,163.172,3.31418,5.24419,3.74922,0.00063,0.00031,0.00035,0.00011,3.47017,5.40921,4.07138,0.000117233,0.000117233,0.000117233
11,179.713,3.23638,5.12459,3.63557,0.00022,0.00702,0.00021,7e-05,3.31629,5.18348,3.85855,0.000117037,0.000117037,0.000117037
12,196.459,3.203,5.02386,3.55427,0.00028,0.01142,0.00036,0.0001,3.37775,5.23184,3.93757,0.00011684,0.00011684,0.00011684
13,213.862,3.10055,4.80935,3.41364,0.00042,0.01411,0.00041,0.00011,3.06955,4.69689,3.54871,0.000116644,0.000116644,0.000116644
14,231.855,3.01231,4.82167,3.36724,0.00437,0.0175,0.0027,0.00045,3.03688,4.59138,3.51878,0.000116447,0.000116447,0.000116447
15,249.655,2.98181,4.82895,3.27428,0.00098,0.02297,0.00101,0.0003,3.00342,4.64809,3.5308,0.000116251,0.000116251,0.000116251
16,268.733,2.89551,4.76649,3.19315,0.11404,0.01602,0.00118,0.00031,2.91104,4.47037,3.32086,0.000116055,0.000116055,0.000116055
17,288.995,2.84233,4.70356,3.1384,0.00216,0.02413,0.00171,0.00056,2.87611,4.95615,3.2393,0.000115858,0.000115858,0.000115858
18,310.251,2.83538,4.52996,3.01707,0.32955,0.00387,0.00169,0.00053,2.83753,4.64231,3.12471,0.000115662,0.000115662,0.000115662
19,330.859,2.79103,4.47932,2.96317,0.22916,0.00638,0.00245,0.00081,2.77961,4.69318,3.02808,0.000115466,0.000115466,0.000115466
20,350.642,2.71112,4.3542,2.88011,0.00202,0.034,0.00203,0.00074,2.75398,4.45987,3.07503,0.000115269,0.000115269,0.000115269
21,370.503,2.67884,4.40202,2.81044,0.35428,0.00528,0.0028,0.00111,2.71692,4.39092,2.97322,0.000115073,0.000115073,0.000115073
22,391.068,2.55316,4.30369,2.72408,0.40458,0.00457,0.00278,0.00099,2.64584,4.4346,2.84115,0.000114877,0.000114877,0.000114877
23,411.953,2.5704,4.35989,2.67146,0.55598,0.00529,0.00357,0.00144,2.61912,4.69255,2.79251,0.00011468,0.00011468,0.00011468
24,432.231,2.52483,4.27654,2.63394,0.69367,0.00541,0.00457,0.00186,2.58218,4.0915,2.76217,0.000114484,0.000114484,0.000114484
25,452.594,2.54463,4.33058,2.59122,0.69462,0.00613,0.00476,0.00196,2.54688,4.06979,2.70643,0.000114288,0.000114288,0.000114288
26,473.712,2.46949,4.18497,2.52314,0.56913,0.00572,0.00462,0.00191,2.53028,4.89937,2.6627,0.000114091,0.000114091,0.000114091
27,494.115,2.40719,4.1651,2.50671,0.44273,0.01126,0.00511,0.00205,2.50253,4.77108,2.61238,0.000113895,0.000113895,0.000113895
28,515.504,2.39967,4.11534,2.43952,0.37146,0.00873,0.00529,0.00221,2.49822,inf,2.60315,0.000113699,0.000113699,0.000113699
29,535.131,2.36726,4.08601,2.40282,0.50121,0.00974,0.00634,0.00258,2.44905,3.9905,2.58765,0.000113502,0.000113502,0.000113502
30,554.748,2.34701,4.15606,2.39099,0.48768,0.01,0.00625,0.00249,2.43205,3.94745,2.54041,0.000113306,0.000113306,0.000113306
31,574.083,2.35393,4.03084,2.36414,0.52861,0.01062,0.00761,0.00323,2.43086,3.89996,2.52915,0.00011311,0.00011311,0.00011311
32,593.376,2.28812,4.01207,2.36226,0.45481,0.01343,0.00771,0.00321,2.41538,3.86754,2.51581,0.000112913,0.000112913,0.000112913
33,613.137,2.28577,3.95717,2.33555,0.59505,0.01213,0.00929,0.00407,2.37349,3.81569,2.45842,0.000112717,0.000112717,0.000112717
34,633.004,2.24537,3.87562,2.29022,0.64659,0.01532,0.01089,0.00476,2.36274,3.79461,2.46439,0.00011252,0.00011252,0.00011252
35,652.708,2.2414,3.87549,2.26817,0.57557,0.01594,0.01132,0.00499,2.34178,3.78586,2.44634,0.000112324,0.000112324,0.000112324
36,672.666,2.28013,3.91279,2.29569,0.50928,0.01556,0.01165,0.00519,2.3463,3.75901,2.41003,0.000112128,0.000112128,0.000112128
37,692.673,2.26782,3.86999,2.27406,0.49636,0.0173,0.01182,0.0053,2.33316,3.74965,2.41308,0.000111931,0.000111931,0.000111931
38,712.8,2.26028,3.84173,2.24134,0.54821,0.01779,0.01311,0.006,2.33011,3.72928,2.38793,0.000111735,0.000111735,0.000111735
39,732.613,2.28144,3.84017,2.21864,0.5502,0.01903,0.01385,0.00618,2.33389,3.71622,2.38282,0.000111539,0.000111539,0.000111539
40,752.309,2.21769,3.90874,2.20621,0.47815,0.01893,0.01334,0.00612,2.29875,3.71408,2.3741,0.000111342,0.000111342,0.000111342
41,772.47,2.18182,3.81469,2.19015,0.46271,0.02383,0.0143,0.0065,2.29158,3.68344,2.34016,0.000111146,0.000111146,0.000111146
42,792.771,2.18266,3.77462,2.18143,0.44774,0.02446,0.01445,0.00657,2.28277,3.67226,2.35511,0.00011095,0.00011095,0.00011095
43,813.1,2.16761,3.74988,2.15036,0.47496,0.02717,0.0157,0.00723,2.2734,3.64749,2.30811,0.000110753,0.000110753,0.000110753
44,833.313,2.1917,3.75427,2.16282,0.48405,0.02408,0.01647,0.00771,2.26483,3.61718,2.30143,0.000110557,0.000110557,0.000110557
45,853.831,2.13634,3.74929,2.11119,0.56954,0.03006,0.01776,0.00811,2.24726,3.59884,2.27565,0.000110361,0.000110361,0.000110361
46,874.62,2.20591,3.68449,2.13496,0.47867,0.03227,0.01816,0.00867,2.2338,3.58319,2.26001,0.000110164,0.000110164,0.000110164
47,894.901,2.08138,3.75745,2.13527,0.48266,0.03191,0.01963,0.00924,2.2216,3.56595,2.25451,0.000109968,0.000109968,0.000109968
48,914.593,2.15491,3.71381,2.12567,0.50084,0.03245,0.01979,0.00943,2.221,3.58206,2.28953,0.000109772,0.000109772,0.000109772
49,934.636,2.14479,3.68291,2.1379,0.48718,0.03232,0.01976,0.00952,2.20862,3.55484,2.27204,0.000109575,0.000109575,0.000109575
50,955.058,2.13005,3.67621,2.09021,0.48799,0.03404,0.02149,0.01015,2.20987,3.53129,2.23811,0.000109379,0.000109379,0.000109379
51,975.495,2.09104,3.65512,2.10291,0.40054,0.03632,0.02072,0.00999,2.20952,3.53905,2.23313,0.000109183,0.000109183,0.000109183
52,995.958,2.14756,3.60478,2.10131,0.45941,0.03698,0.02314,0.01122,2.19846,3.49385,2.21849,0.000108986,0.000108986,0.000108986
53,1016.42,2.07845,3.59468,2.05674,0.4082,0.03722,0.02257,0.01101,2.19433,3.49712,2.20688,0.00010879,0.00010879,0.00010879
54,1037.13,2.06818,3.62813,2.06842,0.44731,0.03941,0.0248,0.01203,2.17631,3.46814,2.20077,0.000108593,0.000108593,0.000108593
55,1057.49,2.07166,3.54674,2.0523,0.42079,0.03865,0.02496,0.0123,2.18582,3.47267,2.18144,0.000108397,0.000108397,0.000108397
