epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.108,3.48945,5.72075,4.28163,0,0,0,0,3.57935,5.39471,4.15883,2.38e-06,2.38e-06,2.38e-06
2,267.183,3.76147,5.67695,4.26375,0,0,0,0,3.57893,5.39458,4.15898,5.94018e-06,5.94018e-06,5.94018e-06
3,291.093,3.51741,5.70183,4.26691,0,0,0,0,3.57887,5.39393,4.15874,9.48858e-06,9.48858e-06,9.48858e-06
4,315.128,3.59571,5.73923,4.26804,0,0,0,0,3.57885,5.39304,4.15897,1.30252e-05,1.30252e-05,1.30252e-05
5,339.775,3.74245,5.73382,4.24773,0,0,0,0,3.57888,5.39284,4.15876,1.655e-05,1.655e-05,1.655e-05
6,364.566,3.62481,5.75237,4.23433,0,0,0,0,3.57888,5.39244,4.1588,2.00631e-05,2.00631e-05,2.00631e-05
7,389.217,3.70441,5.77083,4.20927,0,0,0,0,3.57848,5.39329,4.15861,2.35644e-05,2.35644e-05,2.35644e-05
8,413.865,3.72634,5.74584,4.23547,0,0,0,0,3.57819,5.39269,4.15816,2.70539e-05,2.70539e-05,2.70539e-05
9,438.537,3.57831,5.75366,4.21484,0,0,0,0,3.57797,5.39309,4.15762,3.05316e-05,3.05316e-05,3.05316e-05
10,463.212,3.61533,5.79819,4.20726,0,0,0,0,3.57705,5.39256,4.15716,3.39975e-05,3.39975e-05,3.39975e-05
11,488.011,3.44633,5.72606,4.18488,0,0,0,0,3.57556,5.39354,4.15625,3.74517e-05,3.74517e-05,3.74517e-05
12,512.799,3.74845,5.72462,4.17361,0,0,0,0,3.57512,5.39401,4.15573,4.08941e-05,4.08941e-05,4.08941e-05
13,537.586,3.64477,5.70772,4.16726,0,0,0,0,3.57471,5.39481,4.1545,4.43246e-05,4.43246e-05,4.43246e-05
14,562.376,3.74606,5.70062,4.14757,0,0,0,0,3.57377,5.39595,4.15368,4.77435e-05,4.77435e-05,4.77435e-05
15,587.184,3.63105,5.62861,4.12906,0,0,0,0,3.57281,5.39823,4.15254,5.11505e-05,5.11505e-05,5.11505e-05
16,611.872,3.52394,5.67477,4.10893,0,0,0,0,3.57141,5.40046,4.15175,5.45457e-05,5.45457e-05,5.45457e-05
17,636.553,3.6457,5.60785,4.09765,0,0,0,0,3.57052,5.40251,4.15098,5.79292e-05,5.79292e-05,5.79292e-05
18,661.173,3.49776,5.53276,4.05435,0,0,0,0,3.56892,5.40598,4.15197,6.13009e-05,6.13009e-05,6.13009e-05
19,685.821,3.5012,5.49596,4.06342,0,0,0,0,3.56749,5.41086,4.15485,6.46608e-05,6.46608e-05,6.46608e-05
20,710.416,3.51284,5.43145,3.99544,0,0,0,0,3.56599,5.41844,4.15835,6.80089e-05,6.80089e-05,6.80089e-05
21,735.017,3.50833,5.43276,3.98656,0,0,0,0,3.5655,5.42986,4.16836,7.13453e-05,7.13453e-05,7.13453e-05
22,759.631,3.47182,5.25282,3.92914,0,0,0,0,3.56446,5.44599,4.1815,7.46698e-05,7.46698e-05,7.46698e-05
23,784.271,3.51845,5.25542,3.87828,0,0,0,0,3.56101,5.45613,4.17416,7.79826e-05,7.79826e-05,7.79826e-05
24,808.884,3.42517,5.17873,3.84191,0,0,0,0,3.56092,5.47294,4.1741,8.12836e-05,8.12836e-05,8.12836e-05
25,833.493,3.37609,4.94838,3.80349,0,0,0,0,3.56248,5.5016,4.19549,8.45728e-05,8.45728e-05,8.45728e-05
26,858.17,3.33671,5.01872,3.73382,0,0,0,0,3.56731,5.53664,4.22021,8.78503e-05,8.78503e-05,8.78503e-05
27,882.754,3.42211,4.85646,3.70377,0,0,0,0,3.56839,5.52571,4.18086,9.11159e-05,9.11159e-05,9.11159e-05
28,907.306,3.22854,4.83934,3.62817,0,0,0,0,3.56723,5.55798,4.19781,9.43698e-05,9.43698e-05,9.43698e-05
29,931.872,3.25137,4.7474,3.59921,0,0,0,0,3.57109,5.58559,4.1991,9.76119e-05,9.76119e-05,9.76119e-05
30,956.473,3.08966,4.88197,3.57729,0.00165,1e-05,0.00086,0.00021,3.56757,5.57534,4.16094,0.000100842,0.000100842,0.000100842
31,981.238,3.11704,4.94532,3.55319,0.00066,5e-05,0.00039,0.00012,3.56433,5.60622,4.17272,0.000104061,0.000104061,0.000104061
32,1010.02,2.9548,4.7018,3.4845,0.0003,0.00198,0.00025,6e-05,3.57482,5.57445,4.12535,0.000107267,0.000107267,0.000107267
33,1038.95,2.99532,4.60839,3.44642,0.00016,0.00547,0.00018,5e-05,3.55292,5.62065,4.13829,0.000110462,0.000110462,0.000110462
34,1068.04,3.11433,4.53253,3.39751,0.00016,0.0114,0.0002,6e-05,3.55368,5.60645,4.09767,0.00011252,0.00011252,0.00011252
35,1094.36,2.99986,4.45678,3.38945,0.00056,0.00304,0.00033,0.00011,3.55202,5.711,4.1733,0.000112324,0.000112324,0.000112324
36,1122.16,2.75764,4.40363,3.2139,0.00043,0.00751,0.00041,0.00011,3.52748,5.6552,4.11953,0.000112128,0.000112128,0.000112128
