epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.743,3.64135,5.76709,4.22435,0,0,0,0,3.57497,5.38663,4.15347,0.0032971,0.0032971,0.0032971
2,376.31,3.38457,5.23412,3.84594,0.00071,0.01144,0.0006,0.00014,2.97422,4.54194,3.45147,0.00661949,0.00661949,0.00661949
3,440.666,2.44827,4.29584,2.72204,0.25263,0.03269,0.00687,0.00285,2.27207,4.16445,2.65602,0.00993089,0.00993089,0.00993089
4,506.364,1.90223,3.61312,2.14048,0.24331,0.07715,0.03289,0.01608,1.93228,3.46199,2.20513,0.0099505,0.0099505,0.0099505
5,572.921,1.71472,3.26811,1.92685,0.2347,0.09144,0.05852,0.03283,1.7529,3.12085,1.97842,0.009934,0.009934,0.009934
6,637.78,1.60992,2.96753,1.80353,0.2422,0.13601,0.08183,0.04764,1.6862,2.8841,1.90955,0.0099175,0.0099175,0.0099175
7,701.596,1.54075,2.82267,1.73144,0.25271,0.16229,0.10856,0.06447,1.58019,2.64009,1.80451,0.009901,0.009901,0.009901
8,765.583,1.491,2.67208,1.67264,0.24451,0.17365,0.12699,0.07671,1.55312,2.52099,1.74898,0.0098845,0.0098845,0.0098845
9,828.637,1.45059,2.51056,1.64027,0.2733,0.19491,0.14969,0.0902,1.52455,2.38771,1.72974,0.009868,0.009868,0.009868
10,891.884,1.41675,2.413,1.60632,0.28652,0.20427,0.1572,0.09604,1.50622,2.3933,1.72007,0.0098515,0.0098515,0.0098515
11,955.212,1.37679,2.30771,1.5605,0.33701,0.22151,0.18944,0.11845,1.45139,2.23068,1.6548,0.009835,0.009835,0.009835
12,1018.42,1.35254,2.2568,1.56129,0.32056,0.23764,0.19548,0.12281,1.43576,2.22024,1.641,0.0098185,0.0098185,0.0098185
13,1081.3,1.33715,2.16124,1.52564,0.3388,0.24892,0.21776,0.14079,1.39196,2.10064,1.59603,0.009802,0.009802,0.009802
14,1143.92,1.32256,2.15739,1.52817,0.35026,0.25538,0.2234,0.14196,1.38741,2.05524,1.59411,0.0097855,0.0097855,0.0097855
15,1206.4,1.28438,2.10118,1.49529,0.40364,0.26361,0.2433,0.15732,1.35533,2.00832,1.56841,0.009769,0.009769,0.009769
16,1268.96,1.27719,2.0144,1.47858,0.38865,0.27555,0.25694,0.16824,1.3463,1.95848,1.56432,0.0097525,0.0097525,0.0097525
17,1331.11,1.27578,1.98348,1.46425,0.40221,0.27681,0.25314,0.16369,1.33765,1.93962,1.54869,0.009736,0.009736,0.009736
18,1393.67,1.26638,1.96046,1.45793,0.40638,0.29306,0.27783,0.18216,1.31706,1.88949,1.5281,0.0097195,0.0097195,0.0097195
19,1456.46,1.23268,1.89931,1.44563,0.41867,0.29474,0.27855,0.18184,1.30303,1.87256,1.51859,0.009703,0.009703,0.009703
20,1518.55,1.23006,1.85489,1.42343,0.39593,0.304,0.29098,0.19166,1.29505,1.80924,1.50994,0.0096865,0.0096865,0.0096865
21,1581.02,1.21801,1.86707,1.43026,0.42756,0.31762,0.30473,0.20156,1.27393,1.77789,1.49025,0.00967,0.00967,0.00967
22,1643.29,1.18053,1.80754,1.39586,0.42997,0.3211,0.3136,0.20641,1.27953,1.76967,1.49312,0.0096535,0.0096535,0.0096535
23,1705.33,1.1925,1.83955,1.4154,0.43696,0.31953,0.31847,0.21127,1.27257,1.73117,1.48307,0.009637,0.009637,0.009637
24,1767.36,1.19927,1.74161,1.39374,0.45237,0.32962,0.32454,0.21627,1.26161,1.70087,1.47382,0.0096205,0.0096205,0.0096205
25,1829.79,1.1675,1.7052,1.3825,0.44187,0.34117,0.33394,0.22407,1.24766,1.70107,1.46171,0.009604,0.009604,0.009604
26,1891.79,1.15441,1.70655,1.37929,0.46501,0.34098,0.33652,0.22414,1.24601,1.68009,1.45822,0.0095875,0.0095875,0.0095875
27,1953.66,1.14461,1.67321,1.36099,0.46499,0.34244,0.34331,0.23186,1.23355,1.65617,1.44736,0.009571,0.009571,0.009571
28,2015.59,1.14458,1.63251,1.35806,0.46771,0.34663,0.34809,0.23582,1.22307,1.63531,1.4376,0.0095545,0.0095545,0.0095545
29,2077.73,1.14707,1.62341,1.35188,0.47591,0.35739,0.35604,0.2418,1.21427,1.61508,1.42975,0.009538,0.009538,0.009538
30,2139.81,1.13255,1.63366,1.35089,0.45907,0.35635,0.35022,0.23569,1.2283,1.62977,1.43599,0.0095215,0.0095215,0.0095215
31,2201.57,1.12067,1.61113,1.34014,0.48028,0.35997,0.35888,0.24266,1.20905,1.59607,1.42272,0.009505,0.009505,0.009505
32,2263.45,1.10435,1.57418,1.34121,0.49744,0.35498,0.36593,0.24833,1.19576,1.56965,1.40883,0.0094885,0.0094885,0.0094885
33,2325.29,1.10238,1.54507,1.32991,0.49773,0.36708,0.37168,0.25312,1.20552,1.56236,1.42239,0.009472,0.009472,0.009472
34,2387.34,1.10811,1.56362,1.33436,0.49179,0.36574,0.37038,0.25145,1.19823,1.5723,1.40951,0.0094555,0.0094555,0.0094555
35,2449.38,1.11403,1.55768,1.3399,0.5009,0.36906,0.38191,0.26009,1.19054,1.5348,1.40089,0.009439,0.009439,0.009439
36,2511.42,1.09565,1.52867,1.31892,0.49338,0.37997,0.38633,0.26349,1.18338,1.51592,1.40133,0.0094225,0.0094225,0.0094225
37,2573.43,1.1183,1.521,1.33077,0.48837,0.39203,0.39105,0.26585,1.18521,1.51924,1.39775,0.009406,0.009406,0.009406
38,2635.21,1.08238,1.48971,1.30868,0.50081,0.38147,0.391,0.26665,1.17824,1.50488,1.3917,0.0093895,0.0093895,0.0093895
39,2696.87,1.06899,1.46397,1.30194,0.4934,0.39562,0.4,0.27507,1.17165,1.48523,1.39058,0.009373,0.009373,0.009373
40,2758.82,1.08026,1.44397,1.29739,0.51514,0.39423,0.40478,0.27719,1.16693,1.4819,1.3799,0.0093565,0.0093565,0.0093565
41,2820.68,1.0526,1.438,1.29212,0.50674,0.39354,0.40141,0.27634,1.15834,1.47808,1.37597,0.00934,0.00934,0.00934
42,2882.05,1.05964,1.45838,1.28915,0.51524,0.40336,0.4106,0.2838,1.15947,1.43913,1.37778,0.0093235,0.0093235,0.0093235
43,2943.91,1.05547,1.44285,1.28698,0.52603,0.39617,0.40893,0.28082,1.15265,1.45759,1.36714,0.009307,0.009307,0.009307
44,3005.5,1.04461,1.367,1.27742,0.52007,0.40285,0.41448,0.28618,1.14981,1.43265,1.36333,0.0092905,0.0092905,0.0092905
45,3067.17,1.05276,1.41331,1.28793,0.51698,0.41018,0.41738,0.28765,1.14741,1.42696,1.36375,0.009274,0.009274,0.009274
46,3129.09,1.05416,1.35481,1.27826,0.54809,0.39963,0.42333,0.29264,1.14285,1.41759,1.35923,0.0092575,0.0092575,0.0092575
47,3190.62,1.02095,1.33431,1.26824,0.5526,0.4023,0.42575,0.29509,1.14554,1.40051,1.36163,0.009241,0.009241,0.009241
48,3252.1,1.02548,1.32638,1.26711,0.54349,0.41417,0.42891,0.29683,1.1404,1.39212,1.35964,0.0092245,0.0092245,0.0092245
49,3313.72,1.05335,1.34417,1.26235,0.5414,0.42063,0.43355,0.30043,1.13477,1.39649,1.34984,0.009208,0.009208,0.009208
50,3375.15,1.01595,1.3549,1.2617,0.52935,0.42164,0.43259,0.30022,1.13523,1.3788,1.34824,0.0091915,0.0091915,0.0091915
51,3436.81,1.01919,1.32556,1.25536,0.53188,0.42132,0.43686,0.30345,1.13529,1.3786,1.34948,0.009175,0.009175,0.009175
52,3498.52,1.02397,1.34922,1.26622,0.55005,0.42207,0.44149,0.3077,1.13264,1.3676,1.34511,0.0091585,0.0091585,0.0091585
53,3559.94,1.02007,1.27892,1.26217,0.54492,0.42743,0.44182,0.30828,1.13,1.35958,1.34622,0.009142,0.009142,0.009142
54,3621.29,1.02703,1.32118,1.26387,0.56196,0.42679,0.447,0.31166,1.13165,1.34808,1.33773,0.0091255,0.0091255,0.0091255
55,3683.71,1.01501,1.29858,1.24604,0.56588,0.42786,0.45364,0.31588,1.12388,1.34418,1.34007,0.009109,0.009109,0.009109
56,3747.05,1.01397,1.29431,1.24252,0.56131,0.43053,0.4528,0.31634,1.12087,1.33563,1.33716,0.0090925,0.0090925,0.0090925
57,3808.21,1.02186,1.28412,1.24838,0.56211,0.43463,0.4549,0.31781,1.11782,1.32757,1.3344,0.009076,0.009076,0.009076
58,3869.45,1.00613,1.24539,1.23766,0.57176,0.42947,0.45778,0.32139,1.11584,1.32238,1.33283,0.0090595,0.0090595,0.0090595
59,3930.69,0.99415,1.2399,1.22895,0.59176,0.42966,0.45901,0.32034,1.1169,1.31965,1.33142,0.009043,0.009043,0.009043
60,3991.8,1.01762,1.25626,1.24367,0.58203,0.42916,0.46494,0.32454,1.11623,1.30817,1.32718,0.0090265,0.0090265,0.0090265
61,4053.47,0.98802,1.24635,1.23944,0.5597,0.44129,0.46132,0.32372,1.11232,1.30183,1.3262,0.00901,0.00901,0.00901
62,4114.53,0.9961,1.21179,1.22463,0.57678,0.43893,0.46566,0.32576,1.1129,1.29873,1.32662,0.0089935,0.0089935,0.0089935
63,4176.11,0.98478,1.201,1.22444,0.58727,0.44212,0.46982,0.32881,1.11066,1.28543,1.32451,0.008977,0.008977,0.008977
64,4237.63,0.99646,1.21042,1.22808,0.57572,0.44624,0.46863,0.32908,1.10809,1.28832,1.32355,0.0089605,0.0089605,0.0089605
